"id","original_title","budget","popularity","release_date","revenue","title","vote_average","vote_count","overview","tagline","uid","director_id"
"43672","Waterworld","175000000","44","1995-07-28","264218220","Waterworld","5.9","992","In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.","Beyond the horizon lies the secret to a new beginning.","9804","4814"
"43673","G.I. Joe: The Rise of Cobra","175000000","32","2009-08-04","302469017","G.I. Joe: The Rise of Cobra","5.6","1962","From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.","When all else fails, they don't.","14869","4815"
"43674","Inside Out","175000000","128","2015-06-09","857611174","Inside Out","8.0","6560","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","Meet the little voices inside your head.","150540","4806"
"43675","The Jungle Book","175000000","94","2016-04-07","966550600","The Jungle Book","6.7","2892","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","","278927","4808"
"43676","Iron Man 2","200000000","77","2010-04-28","623933331","Iron Man 2","6.6","6849","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","It's not the armor that makes the hero, but the man inside.","10138","4808"
"43677","Snow White and the Huntsman","170000000","77","2012-05-30","396600000","Snow White and the Huntsman","5.8","3118","After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.","The Fairytale is Over","58595","4816"
"43678","Maleficent","180000000","110","2014-05-28","758539785","Maleficent","7.0","4496","The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.","Don't believe the fairy tale.","102651","4817"
"43679","Dawn of the Planet of the Apes","170000000","243","2014-06-26","710644566","Dawn of the Planet of the Apes","7.3","4410","A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","One last chance for peace.","119450","4818"
"43680","The Lovers","27000000","2","2015-02-13","0","The Lovers","4.8","34","The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.","Love is longer than life.","79698","4819"
"43681","47 Ronin","175000000","41","2013-12-06","150962475","47 Ronin","5.9","1326","Based on the original 1941 movie from Japan, and from ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.","For courage. For loyalty. For honor.","64686","4820"
"43682","Captain America: The Winter Soldier","170000000","72","2014-03-20","714766572","Captain America: The Winter Soldier","7.6","5764","After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.","In heroes we trust.","100402","4781"
"43683","Shrek Forever After","165000000","44","2010-05-16","752600867","Shrek Forever After","6.0","1959","A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.","It ain't Ogre... Til it's Ogre","10192","4821"
"43684","Tomorrowland","190000000","130","2015-05-19","209154322","Tomorrowland","6.2","2846","Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""","Imagine a world where nothing is impossible.","158852","4822"
"43685","Big Hero 6","165000000","203","2014-10-24","652105443","Big Hero 6","7.8","6135","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","From the creators of Wreck-it Ralph and Frozen","177572","4823"
"43686","Wreck-It Ralph","165000000","62","2012-11-01","471222889","Wreck-It Ralph","7.1","4570","Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.","The story of a regular guy just looking for a little wreck-ognition.","82690","4824"
"43687","The Polar Express","165000000","47","2004-11-10","305875730","The Polar Express","6.4","1474","When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.","This holiday season... believe.","5255","4804"
"43688","Independence Day: Resurgence","165000000","48","2016-06-22","389681935","Independence Day: Resurgence","4.9","2491","We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.","We had twenty years to prepare. So did they.","47933","4803"
"43689","How to Train Your Dragon","165000000","67","2010-03-05","494878759","How to Train Your Dragon","7.5","4227","As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father","One adventure will change two worlds","10191","4825"
"43690","Terminator 3: Rise of the Machines","200000000","69","2003-07-02","435000000","Terminator 3: Rise of the Machines","5.9","2143","It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.","The Machines Will Rise.","296","4826"
"43691","Guardians of the Galaxy","170000000","481","2014-07-30","773328629","Guardians of the Galaxy","7.9","9742","Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","All heroes start somewhere.","118340","4827"
"43692","Interstellar","165000000","724","2014-11-05","675120017","Interstellar","8.1","10867","Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.","Mankind was born on Earth. It was never meant to die here.","157336","4765"
"43693","Inception","160000000","167","2010-07-14","825532764","Inception","8.1","13752","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Your mind is the scene of the crime.","27205","4765"
"43694","シン・ゴジラ","15000000","9","2016-07-29","77000000","Shin Godzilla","6.5","143","From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.","A god incarnate. A city doomed.","315011","4828"
"43695","The Hobbit: An Unexpected Journey","250000000","108","2012-11-26","1021103568","The Hobbit: An Unexpected Journey","7.0","8297","Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.","From the smallest beginnings come the greatest legends.","49051","4777"
"43696","The Fast and the Furious","38000000","6","2001-06-22","207283925","The Fast and the Furious","6.6","3428","Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.","Live life 1/4 mile at a time.","9799","4810"
